Regional_indicator,location,region,total_cases,total_deaths,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index,gdp_per_capita,population,people_fully_vaccinated,ratio_total_cases,ratio_total_deaths,ratio_total_vaccinations,case_fatality_rate
Middle East and North Africa,Iran,ME,7612537.0,146297.0,9.59,,1.5,0.783,19082.62,88550568.0,58575727.0,8.596824585021295,0.16521294363690586,66.14946501528934,0.019217903308712984
South Asia,Pakistan,SA,1580631.0,30656.0,8.35,59.607,0.6,0.557,5034.708,235824864.0,140466099.0,0.6702562966388481,0.012999477442717828,59.56373582388667,0.019394786006348096
Commonwealth of Independent States,Armenia,CWIS,449245.0,8751.0,7.11,94.043,4.2,0.776,8787.58,2780472.0,996804.0,16.157148858179475,0.31473073636418564,35.850172200978825,0.01947934868501597
Southeast Asia,Cambodia,SEA,138920.0,3056.0,4.0,66.229,0.8,0.594,3645.07,16767851.0,14663743.0,0.8284901863691417,0.01822535278969261,87.45153448703714,0.021998272386985315
Southeast Asia,Indonesia,SEA,6812127.0,161879.0,6.32,64.204,1.04,0.718,11188.744,275501344.0,174893201.0,2.4726293168283053,0.05875797106819195,63.48179593635667,0.02376335614412356
South Asia,Sri Lanka,SA,672544.0,16879.0,10.68,,3.6,0.782,11669.077,21832150.0,14752827.0,3.0805211580169614,0.07731258717075506,67.57386240017588,0.02509724270828377
Southeast Asia,Myanmar,SEA,640552.0,19494.0,4.61,79.287,0.9,0.583,5591.597,54179312.0,35196377.0,1.1822815321095255,0.03598052334071721,64.96276106274661,0.030433126428455456
South Asia,Afghanistan,SA,223354.0,7928.0,9.59,37.746,0.5,0.511,1803.987,41128772.0,16556475.0,0.5430602207136163,0.019276043544407307,40.25521355220623,0.03549522283012617
Middle East and North Africa,Syria,ME,57423.0,3163.0,,70.598,1.5,0.567,,22125242.0,2358365.0,0.2595361442826253,0.014295888831408036,10.659160247829154,0.055082458248437036
Middle East and North Africa,Yemen,ME,11945.0,2159.0,5.35,49.542,0.7,0.47,1479.147,33696612.0,794265.0,0.03544866765833907,0.00640717232937246,2.3571064058309483,0.18074508162411052
Commonwealth of Independent States,Turkmenistan,CWIS,,,7.11,100.0,7.4,0.715,16389.023,6430777.0,3358426.0,,,52.22426465728791,
East Asia,Hong Kong,EA,,,8.33,,,0.949,56054.92,7488863.0,6800434.0,,,90.80729611424324,
East Asia,Macao,EA,,,,,,,104861.851,695180.0,642266.0,,,92.38844615782963,
East Asia,North Korea,EA,,,4.0,,13.2,,,26069416.0,,,,,
East Asia,Taiwan,EA,,,,,,,,23893396.0,20786650.0,,,86.9974699285108,
Middle East and North Africa,Northern Cyprus,ME,,,,,,,,382836.0,313067.0,,,81.77574731738918,
