continent,total_no_deaths,percentage
Asia,1631583.0,23.480250969023764
Europe,2072538.0,29.82607221504427
Africa,258982.0,3.7270321868147147
Oceania,28398.0,0.40867805500445686
North America,1602361.0,23.059714659306874
South America,1354884.0,19.498251914805923
